group	video_id	song	title	url
OKINI☆PARTY'S	of24cqYH658	シンサイBUDDY!!!	【公式MV】シンサイBUDDY!!!	https://www.youtube.com/watch?v=of24cqYH658
OKINI☆PARTY'S	E7afeV9JHm8	雷音さぁかす	【公式MV】雷音さぁかす/OKINI☆PARTY'S	https://www.youtube.com/watch?v=E7afeV9JHm8
OKINI☆PARTY'S	_kiFj7Gx-A8	生命のRebels	【公式MV】生命のRebels/OKINI☆PARTY'S	https://www.youtube.com/watch?v=_kiFj7Gx-A8
OKINI☆PARTY'S	vsZQ7JQC8zE	超次元ベンチャー	【公式MV】超次元ベンチャー/OKINI☆PARTY'S feat. ミームトーキョー《テレビ朝日“ガリベンチャーV” 2025年3・4月エンディングテーマ》	https://www.youtube.com/watch?v=vsZQ7JQC8zE
OKINI☆PARTY'S	4Rrpl59kq5s	オオキニ☆ぱーりーなぃと	【公式MV】オオキニ☆ぱーりーなぃと/OKINI☆PARTY'S	https://www.youtube.com/watch?v=4Rrpl59kq5s
OKINI☆PARTY'S	1sdWc4bLbS8	Million Bucks	【公式MV】 15th track『Million Bucks』#電音部 #シンサイバシエリア	https://www.youtube.com/watch?v=1sdWc4bLbS8
OKINI☆PARTY'S	av7l6hNUxlw	心斎橋（アメリカ経由）NANKAI	【公式MV】心斎橋（アメリカ経由）NANKAI / OKINI☆PARTY'S #電音部 #シンサイバシエリア	https://www.youtube.com/watch?v=av7l6hNUxlw
OKINI☆PARTY'S	1xP0j_vYGr4	アホちゃうもん	【公式MV】8th track『アホちゃうもん』	https://www.youtube.com/watch?v=1xP0j_vYGr4
OKINI☆PARTY'S	13-aSRtfpV8	OMATSURI SOUL	【公式MV】4th track『OMATSURI SOUL』電音部シンサイバシエリア	https://www.youtube.com/watch?v=13-aSRtfpV8
OKINI☆PARTY'S	eyK9YT6dX38	心斎橋エイリアン	【公式MV】1st track『心斎橋エイリアン』電音部シンサイバシエリア	https://www.youtube.com/watch?v=eyK9YT6dX38
ねもぺろ	ShagBz9DcuM	ファーストキッスは竜人くん♡ feat. 清 竜人	ねもぺろ from でんぱ組.inc「ファーストキッスは竜人くん♡ feat. 清 竜人」Music Video	https://www.youtube.com/watch?v=ShagBz9DcuM
ねもぺろ	Lcf95hmlvng	キュンキュンですっ♡	ねもぺろ from でんぱ組.inc「キュンキュンですっ♡」Music Video	https://www.youtube.com/watch?v=Lcf95hmlvng
ねもぺろ	ybF3w-h0s78	BABY♡BABY	"""""""""""""""NEMOPERO from Dempagumi.inc """"""""""""""""BABY♡BABY""""""""""""""""Music Video"""""""""""""""	https://www.youtube.com/watch?v=ybF3w-h0s78
ねもぺろ	XufqhY8if3E	にゃんにゃん♡ちゅちゅちゅ♡	ねもぺろ from でんぱ組.inc「にゃんにゃん♡ちゅちゅちゅ♡」Music Video	https://www.youtube.com/watch?v=XufqhY8if3E
ねもぺろ	o-I-d_bj3Qc	しゅきしゅきしゅきぴ♡がとまらないっ…！	ねもぺろ from でんぱ組.inc「しゅきしゅきしゅきぴ♡がとまらないっ…！」Music Video	https://www.youtube.com/watch?v=o-I-d_bj3Qc
LAVILITH	lQJVR85qSD4	365番目のエピローグ	LAVILITH「365番目のエピローグ」Music Video	https://www.youtube.com/watch?v=lQJVR85qSD4
ベボガ!	ujmtQN0n-uw	ビマベ！	ベボガ！「ビマベ！」MusicVideo	https://www.youtube.com/watch?v=ujmtQN0n-uw
虹のファンタジスタ	KkoEbFYQZZI	サマ☆フェス	【MV】虹のファンタジスタ「サマ☆フェス」	https://www.youtube.com/watch?v=KkoEbFYQZZI
でんぱ組.inc	TpM2NWN-kO8	W.W.D ENDING	でんぱ組.inc「W.W.D ENDING」Music Video	https://www.youtube.com/watch?v=TpM2NWN-kO8
でんぱ組.inc	H6gyvcPWM-s	BPM285EX	でんぱ組.inc「BPM285EX」Music Video	https://www.youtube.com/watch?v=H6gyvcPWM-s
でんぱ組.inc	jz69lZW8h0A	商売繁盛！元祖電波屋！	でんぱ組.inc「商売繁盛！元祖電波屋！」Music Video	https://www.youtube.com/watch?v=jz69lZW8h0A
でんぱ組.inc	m82-6vy_0Jg	古代アキバ伝説	でんぱ組.inc「古代アキバ伝説」Music Video	https://www.youtube.com/watch?v=m82-6vy_0Jg
でんぱ組.inc	L-_a9XBqaWQ	我ら令和のかえるちゃん！	でんぱ組.inc『我ら令和のかえるちゃん！』Music Video	https://www.youtube.com/watch?v=L-_a9XBqaWQ
でんぱ組.inc	f-olbLYOBYg	オーギュメンテッドおじいちゃん	でんぱ組.inc『オーギュメンテッドおじいちゃん』Music Video	https://www.youtube.com/watch?v=f-olbLYOBYg
でんぱ組.inc	8ANSvVZkVZY	でんぱっていこーぜ!!	でんぱ組.inc『でんぱっていこーぜ!!』Music Video	https://www.youtube.com/watch?v=8ANSvVZkVZY
でんぱ組.inc	sA-h4TW9dRE	MIKATAせずにはいられないっ！	でんぱ組.inc『MIKATAせずにはいられないっ！』Lyric Video	https://www.youtube.com/watch?v=sA-h4TW9dRE
でんぱ組.inc	vNKYMjmuNDY	初体験	でんぱ組.inc『初体験』Music Video	https://www.youtube.com/watch?v=vNKYMjmuNDY
でんぱ組.inc	4BzTWPdOT5g	好感Daybook♡	でんぱ組.inc『好感Daybook♡』Music Video	https://www.youtube.com/watch?v=4BzTWPdOT5g
でんぱ組.inc	ejAMVcO_kF8	衝動的S/K/S/D	でんぱ組.inc「衝動的S/K/S/D」Music Video	https://www.youtube.com/watch?v=ejAMVcO_kF8
でんぱ組.inc	bexHugfKowk	プリンセスでんぱパワー！シャインオン！	"""""""""""""""Dempagumi.inc """""""""""""""" Princess Dempa Power ! Shine On ! """""""""""""""" Music Video"""""""""""""""	https://www.youtube.com/watch?v=bexHugfKowk
でんぱ組.inc	lAfPuUaSZQc	なんと！世界公認 引きこもり！	でんぱ組.inc テレワークMV「なんと！世界公認 引きこもり！」	https://www.youtube.com/watch?v=lAfPuUaSZQc
でんぱ組.inc	kOGpHzGOXWs	愛が地球救うんさ！だってでんぱ組.incはファミリーでしょ	［字幕］でんぱ組.inc「愛が地球救うんさ！だってでんぱ組.incはファミリーでしょ」Music Video／덴파구미.inc「사랑이 지구를 구할거야 ! 그야 덴파구미.inc는 패밀리잖아」MV	https://www.youtube.com/watch?v=kOGpHzGOXWs
でんぱ組.inc	hVPrXHKkmWo	アイノカタチ	［字幕］でんぱ組.inc「アイノカタチ」Music Video／덴파구미.inc「사랑의 형태」Music Video	https://www.youtube.com/watch?v=hVPrXHKkmWo
でんぱ組.inc	xqBUTHdZa-Q	もしもし、インターネット	でんぱ組.inc「もしもし、インターネット」Music Video	https://www.youtube.com/watch?v=xqBUTHdZa-Q
でんぱ組.inc	Iwdaxre0sV4	ボン・デ・フェスタ	でんぱ組.inc「ボン・デ・フェスタ」Music Video	https://www.youtube.com/watch?v=Iwdaxre0sV4
でんぱ組.inc	zFAgG0HIvWo	形而上学的、魔法	でんぱ組.inc「形而上学的、魔法」Music Video	https://www.youtube.com/watch?v=zFAgG0HIvWo
でんぱ組.inc	WTTnyA38NfE	いのちのよろこび	でんぱ組.inc「いのちのよろこび」MV	https://www.youtube.com/watch?v=WTTnyA38NfE
でんぱ組.inc	NgUm0xYI6fU	子♡丑♡寅♡卯♡辰♡巳♡	でんぱ組.inc「子♡丑♡寅♡卯♡辰♡巳♡」MV	https://www.youtube.com/watch?v=NgUm0xYI6fU
でんぱ組.inc	p2O-mJA7Bmg	太陽系観察中生命体	でんぱ組.inc「太陽系観察中生命体」MV	https://www.youtube.com/watch?v=p2O-mJA7Bmg
でんぱ組.inc	NU9T4t5ge3U	ギラメタスでんぱスターズ	【世界初!?】でんぱ組.inc「ギラメタスでんぱスターズ」MV  Full	https://www.youtube.com/watch?v=NU9T4t5ge3U
でんぱ組.inc	7C52Clqg-lM	おやすみポラリスさよならパラレルワールド	でんぱ組.inc「おやすみポラリスさよならパラレルワールド」MV	https://www.youtube.com/watch?v=7C52Clqg-lM
